esdras@dell:~$ pwd /home/esdras/estudos/mestrado_2/Matrix-Capsules
/home/esdras
esdras@dell:~$ cd /home/esdras/estudos/mestrado_2/Matrix-Capsules
esdras@dell:~/estudos/mestrado_2/Matrix-Capsules$ python train.py
Dataset Loaded: 51839
Train Size: 39209
Val Size: 12630
CapsNet(
  (conv1): Conv2d(1, 64, kernel_size=(5, 5), stride=(2, 2), padding=(2, 2))
  (bn1): BatchNorm2d(64, eps=0.001, momentum=0.1, affine=True, track_running_stats=True)
  (relu1): ReLU()
  (primary_caps): PrimaryCaps(
    (pose): Conv2d(64, 128, kernel_size=(1, 1), stride=(1, 1))
    (a): Conv2d(64, 8, kernel_size=(1, 1), stride=(1, 1))
    (sigmoid): Sigmoid()
  )
  (conv_caps1): ConvCaps(
    (sigmoid): Sigmoid()
    (softmax): Softmax()
  )
  (conv_caps2): ConvCaps(
    (sigmoid): Sigmoid()
    (softmax): Softmax()
  )
  (class_caps): ConvCaps(
    (sigmoid): Sigmoid()
    (softmax): Softmax()
  )
)
Number of Trainables Params: 77086
Train Epoch: 1	[0/39209 (0%)]	Loss: 4.470828	Accuracy: 0.000000	Time 0.810 (0.810)	Data 0.061 (0.061)
Train Epoch: 1	[100/39209 (0%)]	Loss: 3.713156	Accuracy: 0.000000	Time 0.725 (0.733)	Data 0.000 (0.006)
Train Epoch: 1	[200/39209 (1%)]	Loss: 2.414871	Accuracy: 10.000000	Time 0.731 (0.731)	Data 0.000 (0.003)
Train Epoch: 1	[300/39209 (1%)]	Loss: 2.122685	Accuracy: 10.000000	Time 0.726 (0.730)	Data 0.000 (0.002)
Train Epoch: 1	[400/39209 (1%)]	Loss: 2.183945	Accuracy: 0.000000	Time 0.726 (0.729)	Data 0.000 (0.002)
Train Epoch: 1	[500/39209 (1%)]	Loss: 1.978632	Accuracy: 0.000000	Time 0.726 (0.728)	Data 0.000 (0.001)
Train Epoch: 1	[600/39209 (2%)]	Loss: 1.066388	Accuracy: 10.000000	Time 0.726 (0.728)	Data 0.000 (0.001)
Train Epoch: 1	[700/39209 (2%)]	Loss: 3.006428	Accuracy: 10.000000	Time 0.726 (0.728)	Data 0.000 (0.001)
Train Epoch: 1	[800/39209 (2%)]	Loss: 1.992597	Accuracy: 0.000000	Time 0.726 (0.727)	Data 0.000 (0.001)
Train Epoch: 1	[900/39209 (2%)]	Loss: 1.075409	Accuracy: 0.000000	Time 0.726 (0.727)	Data 0.000 (0.001)
Train Epoch: 1	[1000/39209 (3%)]	Loss: 1.829330	Accuracy: 10.000000	Time 0.726 (0.727)	Data 0.000 (0.001)
Train Epoch: 1	[1100/39209 (3%)]	Loss: 1.358705	Accuracy: 0.000000	Time 0.726 (0.727)	Data 0.000 (0.001)
Train Epoch: 1	[1200/39209 (3%)]	Loss: 1.414325	Accuracy: 10.000000	Time 0.726 (0.727)	Data 0.000 (0.001)
Train Epoch: 1	[1300/39209 (3%)]	Loss: 1.060230	Accuracy: 20.000000	Time 0.726 (0.727)	Data 0.000 (0.001)
Train Epoch: 1	[1400/39209 (4%)]	Loss: 1.589622	Accuracy: 10.000000	Time 0.726 (0.727)	Data 0.000 (0.001)
Train Epoch: 1	[1500/39209 (4%)]	Loss: 1.705992	Accuracy: 0.000000	Time 0.726 (0.727)	Data 0.000 (0.001)
Train Epoch: 1	[1600/39209 (4%)]	Loss: 1.363659	Accuracy: 10.000000	Time 0.726 (0.727)	Data 0.000 (0.001)
Train Epoch: 1	[1700/39209 (4%)]	Loss: 0.763385	Accuracy: 20.000000	Time 0.727 (0.727)	Data 0.000 (0.000)
Train Epoch: 1	[1800/39209 (5%)]	Loss: 1.279959	Accuracy: 20.000000	Time 0.726 (0.727)	Data 0.000 (0.000)
Train Epoch: 1	[1900/39209 (5%)]	Loss: 0.722549	Accuracy: 10.000000	Time 0.726 (0.727)	Data 0.000 (0.000)
Train Epoch: 1	[2000/39209 (5%)]	Loss: 0.960459	Accuracy: 30.000000	Time 0.726 (0.727)	Data 0.000 (0.000)
Train Epoch: 1	[2100/39209 (5%)]	Loss: 1.422373	Accuracy: 10.000000	Time 0.726 (0.726)	Data 0.000 (0.000)
Train Epoch: 1	[2200/39209 (6%)]	Loss: 1.336497	Accuracy: 20.000000	Time 0.726 (0.726)	Data 0.000 (0.000)
Train Epoch: 1	[2300/39209 (6%)]	Loss: 1.225482	Accuracy: 0.000000	Time 0.726 (0.726)	Data 0.000 (0.000)
